REG_ID,Region,Country,totpop05,totpop20,pop65plus05,pop65plus20,workagepop05,workagepop20,areasqkm,popsqkm05,popsqkm20,pctba20,pm2pt5_05,pm2pt5_19,co2tot08,co2cap08,broadband19,inc05,inc19,unemp05,unemp20,covidvax2021q2
AT22,Styria,AT,1196780,1246400,205809,255529,808491,823768,16252,73.64,76.69,0.311,18.11,13.27,11180.4,9.3,0.84,25438,26237,0.044,0.045,0.6253
AT33,Tyrol,AT,688954,757634,97755,137957,471832,509444,12511,55.07,60.56,0.319,12.59,9.41,3236.44,4.6,0.93,25801,26103,0.039,0.031,0.6148
TRA1,Northeastern Anatolia - West,TR,1078970,1081650,NA,104270,NA,719785,40671,26.53,26.6,0.208,24.3,24.17,2382.73,2.2,NA,NA,NA,NA,0.105,NA
CA13,New Brunswick,CA,748057,783204,105236,171705,520765,499332,71389,10.48,10.97,NA,6.86,5.16,12900.2,17.3,NA,16036,NA,0.097,0.1,0.7803
HU31,Northern Hungary,HU,1271110,1118580,202037,224212,854892,725305,13294,95.62,84.14,0.168,21.42,17.49,15026.3,12.2,0.81,9263,12062,0.105,0.051,NA
HU32,Northern Great Plain,HU,1541820,1442660,221723,266734,1045980,956035,17412,88.55,82.85,0.192,18.99,15.37,3583.98,2.4,0.82,8837,12597,0.09,0.075,NA
NO07,Northern Norway,NO,462640,484547,69106,95321,301448,310891,106687,4.34,4.54,0.404,6.71,5.47,2717.82,5.9,0.97,NA,23866,0.048,0.033,0.7166
US17,Illinois,US,12609900,12785200,1517450,2089230,8454070,8212500,143961,87.59,88.81,NA,12.09,8.79,247990,19.5,0.86,39822,48574,0.057,0.09,0.547
US19,Iowa,US,2964450,3188670,436927,566136,1938670,1995840,144701,20.49,22.04,NA,10.28,7.75,64867.8,21.5,0.839,35104,43770,0.045,0.055,0.474
US32,Nevada,US,2432140,3114070,271851,519316,1648780,2038370,284448,8.55,10.95,NA,8.63,7.03,46698,17.6,0.856,40123,43337,0.042,0.132,0.57
US44,Rhode Island,US,1067920,1096230,148441,192477,722132,699082,2706,394.65,405.11,NA,8.92,6.03,11823.9,11.2,0.877,39424,47011,0.051,0.094,0.676
US46,South Dakota,US,775493,887099,109647,157177,506231,552404,196540,3.95,4.51,NA,7.29,6.16,14477.3,18.1,0.85,37036,46613,0.046,0.044,0.098
US47,Tennessee,US,5991060,6920120,751389,1180540,4041470,4451300,106752,56.12,64.82,NA,11.6,7.47,97904.4,15.7,0.83,34313,42037,0.057,0.078,0.52
US49,Utah,US,2457720,3281680,213796,381593,1599580,2098680,212751,11.55,15.42,NA,8.64,7.93,61823,23.2,0.908,30580,40878,0.041,0.048,0.419
IL06,Southern District,IL,993700,1330600,93900,NA,596300,NA,14185,70.05,93.8,NA,23.66,19.29,17092.3,16.5,NA,7976,NA,0.11,NA,NA
ITI2,Umbria,IT,848070,870165,198006,225810,545043,537784,8306,102.1,104.76,0.231,16.93,12.75,4927.8,5.7,0.86,24390,21386,0.059,0.085,0.7208
ITI3,Marche,IT,1491210,1512670,334401,381026,962399,944082,9385,158.89,161.18,0.212,17.07,12.74,5365.18,3.5,0.86,22891,21591,0.049,0.076,0.6816
PL62,Warmian-Masuria,PL,1428710,1399040,163085,235000,1004340,947907,22953,62.25,60.95,0.236,18.56,16.11,7226.27,5.1,0.793,9420,15251,0.204,0.032,NA
CZ07,Central Moravia,CZ,1228320,1214570,174039,252274,869414,775079,9121,134.67,133.16,0.223,23.99,19.62,7195.83,5.9,0.84,12214,15929,0.097,0.026,0.5131
JPJ,"Kyushu, Okinawa",JP,14715000,14245000,3196820,4230000,9332230,8114000,43712,336.64,325.88,NA,13.79,15.57,94322.7,6.5,0.578636,18187,NA,0.056,0.031,NA
LU00,Luxembourg,LU,461230,626108,64955,90787,310444,435244,2586,178.36,242.11,0.471,12.56,10.09,10817.8,22.1,0.95,30088,33603,0.045,0.068,NA
